,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
21,2022-07-13,198.38116272669578,173.1946130131106,221.78756304346425,198.38116272669578,198.38116272669578,-1.3800496335075614,-1.3800496335075614,-1.3800496335075614,-1.3800496335075614,-1.3800496335075614,-1.3800496335075614,0.0,0.0,0.0,197.00111309318822
22,2022-07-14,199.07089437598307,174.60391284679108,222.7465839710739,199.07089437598307,199.07089437598307,0.049579831533484275,0.049579831533484275,0.049579831533484275,0.049579831533484275,0.049579831533484275,0.049579831533484275,0.0,0.0,0.0,199.12047420751657
23,2022-07-15,199.7606260252704,175.79612443223039,223.8098134711222,199.7606260252704,199.7606260252704,0.4966110693496325,0.4966110693496325,0.4966110693496325,0.4966110693496325,0.4966110693496325,0.4966110693496325,0.0,0.0,0.0,200.25723709462002
24,2022-07-18,201.82982097313234,176.5211809782039,224.3992724932354,201.82982097313234,201.82982097313234,-1.939908585830258,-1.939908585830258,-1.939908585830258,-1.939908585830258,-1.939908585830258,-1.939908585830258,0.0,0.0,0.0,199.88991238730208
25,2022-07-19,202.51955261161666,174.0404094317494,225.70410358181977,202.51955261161666,202.51955261161666,-4.249491327215887,-4.249491327215887,-4.249491327215887,-4.249491327215887,-4.249491327215887,-4.249491327215887,0.0,0.0,0.0,198.27006128440078
26,2022-07-20,203.209284250101,177.1199870715034,227.160036558331,203.209284250101,203.209284250101,-1.3800496335053594,-1.3800496335053594,-1.3800496335053594,-1.3800496335053594,-1.3800496335053594,-1.3800496335053594,0.0,0.0,0.0,201.82923461659564
27,2022-07-21,203.89901588858532,180.07119213411647,227.77639638091176,203.89901588858532,203.89901588858532,0.04957983153354465,0.04957983153354465,0.04957983153354465,0.04957983153354465,0.04957983153354465,0.04957983153354465,0.0,0.0,0.0,203.94859572011887
28,2022-07-22,204.58874752706964,181.5254123098948,230.02663682023885,204.58874752706964,204.58874752706964,0.49661106934339444,0.49661106934339444,0.49661106934339444,0.49661106934339444,0.49661106934339444,0.49661106934339444,0.0,0.0,0.0,205.08535859641304
29,2022-07-25,206.65794244252263,180.16514740108846,228.572149244781,206.65794244252263,206.65794244252263,-1.9399085858343168,-1.9399085858343168,-1.9399085858343168,-1.9399085858343168,-1.9399085858343168,-1.9399085858343168,0.0,0.0,0.0,204.71803385668832
30,2022-07-26,207.34767408100694,179.42960728410048,226.1054924665846,207.34767408100694,207.34767408100694,-4.24949132721503,-4.24949132721503,-4.24949132721503,-4.24949132721503,-4.24949132721503,-4.24949132721503,0.0,0.0,0.0,203.09818275379192
31,2022-07-27,208.0374057194913,181.4194599395713,231.07798977207864,208.0374057194913,208.0374057194913,-1.3800496335155534,-1.3800496335155534,-1.3800496335155534,-1.3800496335155534,-1.3800496335155534,-1.3800496335155534,0.0,0.0,0.0,206.65735608597575
32,2022-07-28,208.72713735797558,184.15111400344765,232.54599081413096,208.72713735797558,208.72713735797558,0.04957983153360503,0.04957983153360503,0.04957983153360503,0.04957983153360503,0.04957983153360503,0.04957983153360503,0.0,0.0,0.0,208.77671718950918
33,2022-07-29,209.41686687547437,185.5434175887788,233.65625392006942,209.41686687547437,209.41686687547437,0.49661106934467253,0.49661106934467253,0.49661106934467253,0.49661106934467253,0.49661106934467253,0.49661106934467253,0.0,0.0,0.0,209.91347794481905
34,2022-08-01,211.48605542797068,183.77254500680866,233.0583966095427,211.48605542797068,211.48605542797068,-1.939908585838288,-1.939908585838288,-1.939908585838288,-1.939908585838288,-1.939908585838288,-1.939908585838288,0.0,0.0,0.0,209.5461468421324
35,2022-08-02,212.17578494546947,183.93805843051243,232.65797458403114,212.17578494546947,212.17578494546947,-4.249491327214175,-4.249491327214175,-4.249491327214175,-4.249491327214175,-4.249491327214175,-4.249491327214175,0.0,0.0,0.0,207.9262936182553
36,2022-08-03,212.86551446296824,188.58970262006443,235.72742263551987,212.86551446296824,212.86551446296824,-1.380049633513351,-1.380049633513351,-1.380049633513351,-1.380049633513351,-1.380049633513351,-1.380049633513351,0.0,0.0,0.0,211.48546482945488
37,2022-08-04,213.55524398046697,187.4882415686879,239.94944627202216,213.55524398046697,213.55524398046697,0.049579831533410876,0.049579831533410876,0.049579831533410876,0.049579831533410876,0.049579831533410876,0.049579831533410876,0.0,0.0,0.0,213.60482381200038
38,2022-08-05,214.2449734979658,190.54157211027655,241.1993653544081,214.2449734979658,214.2449734979658,0.49661106934639104,0.49661106934639104,0.49661106934639104,0.49661106934639104,0.49661106934639104,0.49661106934639104,0.0,0.0,0.0,214.74158456731217
39,2022-08-08,216.31416205046207,190.3750311917974,240.62816951777864,216.31416205046207,216.31416205046207,-1.9399085858422584,-1.9399085858422584,-1.9399085858422584,-1.9399085858422584,-1.9399085858422584,-1.9399085858422584,0.0,0.0,0.0,214.3742534646198
40,2022-08-09,217.00389156796084,188.46241591036133,237.74560299965842,217.00389156796084,217.00389156796084,-4.2494913272132955,-4.2494913272132955,-4.2494913272132955,-4.2494913272132955,-4.2494913272132955,-4.2494913272132955,0.0,0.0,0.0,212.75440024074754
41,2022-08-10,217.69362107746744,191.1830076361298,239.96521996769152,217.69362107746744,217.69362107746744,-1.3800496335110668,-1.3800496335110668,-1.3800496335110668,-1.3800496335110668,-1.3800496335110668,-1.3800496335110668,0.0,0.0,0.0,216.31357144395636
42,2022-08-11,218.38335058697407,192.39883607015966,241.7329337216349,218.38335058697407,218.38335058697407,0.04957983153347126,0.04957983153347126,0.04957983153347126,0.04957983153347126,0.04957983153347126,0.04957983153347126,0.0,0.0,0.0,218.43293041850754
43,2022-08-12,219.07308009648062,195.6594196525656,245.12755080173318,219.07308009648062,219.07308009648062,0.4966110693400067,0.4966110693400067,0.4966110693400067,0.4966110693400067,0.4966110693400067,0.4966110693400067,0.0,0.0,0.0,219.56969116582064
44,2022-08-15,221.1422686250004,195.13631835943886,245.5423236857528,221.1422686250004,221.1422686250004,-1.9399085858463179,-1.9399085858463179,-1.9399085858463179,-1.9399085858463179,-1.9399085858463179,-1.9399085858463179,0.0,0.0,0.0,219.2023600391541
45,2022-08-16,221.83199813450705,192.89618606049976,243.83029412405685,221.83199813450705,221.83199813450705,-4.24949132721246,-4.24949132721246,-4.24949132721246,-4.24949132721246,-4.24949132721246,-4.24949132721246,0.0,0.0,0.0,217.58250680729458
46,2022-08-17,222.52172764401365,196.3451034433624,246.87194367748285,222.52172764401365,222.52172764401365,-1.3800496335087822,-1.3800496335087822,-1.3800496335087822,-1.3800496335087822,-1.3800496335087822,-1.3800496335087822,0.0,0.0,0.0,221.14167801050488
47,2022-08-18,223.2114571535202,197.80555322455012,248.73509389282168,223.2114571535202,223.2114571535202,0.049579831533613186,0.049579831533613186,0.049579831533613186,0.049579831533613186,0.049579831533613186,0.049579831533613186,0.0,0.0,0.0,223.2610369850538
48,2022-08-19,223.90118666302686,199.47486939609206,250.19507748025597,223.90118666302686,223.90118666302686,0.49661106934143107,0.49661106934143107,0.49661106934143107,0.49661106934143107,0.49661106934143107,0.49661106934143107,0.0,0.0,0.0,224.3977977323683
